post_id,flag_type,count,evidence,created_at
1980287888077312390,position_disclosure,1,,2026-06-14T10:20:52.007Z
1980294395342868793,position_disclosure,1,,2026-06-14T10:20:52.657Z
1981009544546591207,position_disclosure,1,,2026-06-14T10:20:57.056Z
1981016959006482900,position_disclosure,1,,2026-06-14T10:20:57.907Z
1981504873943416854,position_disclosure,1,,2026-06-14T10:21:03.304Z
1981506756955254934,position_disclosure,1,,2026-06-14T10:21:03.474Z
1981981029029298374,position_disclosure,1,,2026-06-14T10:21:06.023Z
1982022999382675836,position_disclosure,1,,2026-06-14T10:21:08.570Z
1982428584431251483,position_disclosure,1,,2026-06-14T10:21:10.215Z
1982715174957232259,position_disclosure,1,,2026-06-14T10:21:13.945Z
1982941541430898743,position_disclosure,1,,2026-06-14T10:21:15.404Z
1982944758348795987,position_disclosure,1,,2026-06-14T10:21:15.582Z
1982944983436218381,self_reported_returns,1,,2026-06-14T10:21:15.735Z
1982949630674625014,position_disclosure,1,,2026-06-14T10:21:16.112Z
1983099925639639254,position_disclosure,1,,2026-06-14T10:21:18.584Z
1983125674455117836,position_disclosure,1,,2026-06-14T10:21:19.793Z
1983168146124292219,position_disclosure,1,,2026-06-14T10:21:21.340Z
1983474835578909158,position_disclosure,1,,2026-06-14T10:21:27.129Z
1984837960735285593,position_disclosure,1,,2026-06-14T10:21:38.897Z
1985952468266860967,position_disclosure,1,,2026-06-14T10:21:55.212Z
1985989016219508993,position_disclosure,1,,2026-06-14T10:21:55.927Z
1986042647056646477,position_disclosure,1,,2026-06-14T10:21:56.063Z
1987025387663335851,paid_promotion_disclosure,1,,2026-06-14T10:22:03.872Z
1987659186923262350,position_disclosure,1,,2026-06-14T10:22:05.532Z
1988632241229250795,position_disclosure,1,,2026-06-14T10:22:11.783Z
1988636168469324003,position_disclosure,1,,2026-06-14T10:22:12.258Z
1988638368482083035,position_disclosure,1,,2026-06-14T10:22:12.562Z
1988653150644105602,position_disclosure,1,,2026-06-14T10:22:14.216Z
1989201148432248888,position_disclosure,1,,2026-06-14T10:22:17.642Z
1989324982233776303,position_disclosure,1,,2026-06-14T10:22:21.111Z
1989337423193723093,position_disclosure,1,,2026-06-14T10:22:22.452Z
1989561104578580789,position_disclosure,1,,2026-06-14T10:22:28.098Z
1992188194821988700,position_disclosure,1,,2026-06-14T10:23:05.061Z
1992685458053312968,position_disclosure,1,,2026-06-14T10:23:10.417Z
1992692991816048807,position_disclosure,1,,2026-06-14T10:23:10.808Z
1995543748353347989,position_disclosure,1,,2026-06-14T10:23:40.369Z
1995546513305751984,position_disclosure,1,,2026-06-14T10:23:40.719Z
1995559972525294001,position_disclosure,1,,2026-06-14T10:23:40.903Z
1995644085563261034,position_disclosure,1,,2026-06-14T10:23:41.649Z
1995730253608898726,position_disclosure,1,,2026-06-14T10:23:43.508Z
1995876087461806339,position_disclosure,1,,2026-06-14T10:23:44.952Z
1995876087461806339,self_reported_returns,1,,2026-06-14T10:23:44.967Z
1998057580472729941,position_disclosure,1,,2026-06-14T10:24:06.455Z
1999248269441138721,position_disclosure,1,,2026-06-14T10:24:27.022Z
